val_miou,val_oa,val_loss,tra_miou,tra_oa,tra_loss
0.5077586,0.70898473,0.65842175,0.50993943,0.69480324,0.97129124
0.51985985,0.71280533,0.6272923,0.5892764,0.7769809,0.4424698
0.48851138,0.6625814,0.61211663,0.6292565,0.8044566,0.4370347
0.27417818,0.49082044,0.6187267,0.5821107,0.7808552,0.43735713
0.22295016,0.44590032,0.63750434,0.5590261,0.7575841,0.4542074
0.24289492,0.46354362,0.599612,0.57960844,0.76677006,0.46118045
0.84778965,0.91811025,0.6223533,0.56981546,0.7622149,0.46060807
0.22295016,0.44590032,0.6091194,0.57460535,0.7751142,0.44270948
0.76589453,0.86744136,0.5696646,0.5477264,0.7681945,0.45311832
0.7918792,0.8853937,0.575843,0.6032165,0.78605235,0.42607597
0.7570114,0.8683184,0.44790626,0.6525254,0.8233676,0.40527576
0.8902596,0.9424997,0.43597734,0.62348604,0.7989065,0.40067118
0.27784568,0.49416733,0.4919449,0.5889812,0.7798027,0.42656875
0.76249504,0.8707685,0.5082121,0.64811516,0.8125275,0.40434274
0.7740587,0.87773204,0.4210051,0.6073195,0.7945437,0.41213018
0.49762705,0.67343104,0.41767383,0.6403303,0.8172971,0.39907554
0.8988794,0.94721675,0.2918083,0.6160964,0.8052921,0.40251192
0.85699856,0.9243917,0.31355214,0.6272931,0.8163259,0.39481607
0.8230379,0.9030186,0.33058575,0.6548908,0.8247134,0.38367978
0.70816743,0.8300781,0.8710039,0.5854484,0.78957474,0.43262473
0.59956205,0.74989456,0.6677748,0.635207,0.8133092,0.40400326
0.6944088,0.82006,0.28758222,0.6270298,0.7999003,0.40711096
0.90684724,0.9515131,0.308255,0.6007997,0.7959399,0.40866217
0.87914133,0.93716013,0.25911477,0.661975,0.82851064,0.37240347
0.8658499,0.9285528,0.3343519,0.6360897,0.8093781,0.4019186
0.8829918,0.938299,0.2949993,0.6050085,0.7828083,0.42141032
0.8433989,0.91516423,0.26198876,0.6337545,0.8155516,0.39384076
0.6504261,0.8031918,2.0740669,0.6641284,0.82553333,0.36960927
0.6984401,0.82295746,0.47273093,0.6401839,0.81278664,0.39001286
0.52779514,0.72457886,1.8262385,0.6768943,0.84356767,0.36086676
0.59278595,0.7474806,0.8271358,0.64845437,0.81802166,0.38446626
