val_miou,val_oa,val_loss,tra_miou,tra_oa,tra_loss
0.45515862,0.6775898,1.4780293,0.42743924,0.6012557,1.5486857
0.27704984,0.5540997,1.4963527,0.44944105,0.6220386,1.5376129
0.27704984,0.5540997,1.4960535,0.420372,0.59246844,1.5382386
0.27704984,0.5540997,1.4956971,0.464158,0.6360898,1.5295833
0.27704984,0.5540997,1.4956377,0.40483207,0.5764626,1.5381097
0.27901635,0.5555056,1.4955133,0.47354063,0.6453275,1.5281311
0.27822748,0.5549417,1.4955089,0.4417246,0.6150566,1.5407943
0.27984083,0.55609477,1.4952598,0.47526443,0.6471746,1.5318695
0.27761146,0.5545013,1.4950281,0.47524205,0.6467587,1.5152229
0.32338524,0.5870129,1.4844723,0.46255773,0.63496155,1.5250062
0.373201,0.6218824,1.4673207,0.4826259,0.6536866,1.5186751
0.42005584,0.65415436,1.4475429,0.4427962,0.6150248,1.5205367
0.50441456,0.710908,1.3956699,0.46794865,0.63952917,1.5155761
0.5082514,0.7134445,1.3923652,0.46282852,0.63484913,1.5244209
0.62577796,0.78912044,1.3549736,0.44932938,0.62126946,1.5153528
0.6108826,0.778939,1.3771536,0.46290028,0.6345688,1.518081
0.65957963,0.8079678,1.3585166,0.4698993,0.6415411,1.5191349
0.67000544,0.8143397,1.3519053,0.47585326,0.6471852,1.5104818
0.7127911,0.8374495,1.3610516,0.46579522,0.6377166,1.5149033
0.64807916,0.80143356,1.3509476,0.4799019,0.65128654,1.5165727
0.28130028,0.46306124,1.709259,0.49601427,0.66689575,1.5099802
0.27527934,0.46459302,1.7313929,0.44058752,0.61247104,1.5148834
0.34408677,0.525391,1.6198771,0.4900276,0.6607118,1.5135963
0.37184632,0.5509401,1.5909829,0.49334562,0.66413945,1.5037948
0.36547363,0.5401424,1.579289,0.4890175,0.66018265,1.5117052
0.36025417,0.5323448,1.5724233,0.4760095,0.64731956,1.5127529
0.6765867,0.810532,1.3742926,0.47310466,0.6444253,1.5053104
0.7377223,0.8563337,1.3522334,0.5366151,0.7042379,1.5051402
0.7113358,0.8402214,1.3524594,0.5563434,0.72311807,1.5004467
0.8031598,0.89443934,1.3473959,0.5042465,0.6749897,1.5095668
0.765226,0.8724001,1.3505864,0.49347657,0.6637679,1.5049003
0.74754155,0.86211604,1.3511441,0.51318324,0.68268424,1.503741
0.80019194,0.89271754,1.346832,0.503495,0.67457896,1.5109049
0.7195579,0.84558004,1.3506371,0.5094939,0.6791828,1.507908
0.66414416,0.8120776,1.3493356,0.5639491,0.72801006,1.4928825
0.78457326,0.8835571,1.3493062,0.4907441,0.662228,1.5086013
0.85256135,0.92238027,1.3375579,0.5134582,0.68280613,1.5030898
0.692433,0.829294,1.350093,0.51530504,0.6846971,1.4995703
0.65318537,0.80545634,1.3543067,0.54566646,0.71244055,1.4999932
0.67768455,0.82058054,1.3474388,0.53354096,0.7011936,1.5016527
0.79691875,0.89070547,1.3516955,0.51649284,0.6856863,1.4978122
0.79048514,0.88705134,1.3503065,0.5211064,0.6897639,1.4943508
0.87015605,0.93158585,1.3334935,0.54526496,0.71178347,1.5020583
0.72346175,0.847658,1.3500466,0.5611893,0.72622,1.489989
0.8014653,0.8933889,1.3492374,0.5129189,0.68222684,1.5076276
0.84331155,0.9168115,1.3473372,0.5443281,0.71106005,1.4976683
0.8767277,0.93530554,1.3243935,0.5527093,0.71890193,1.4903238
0.859843,0.9256741,1.3410504,0.5384923,0.7073371,1.4961379
0.8604809,0.9264551,1.3408258,0.5341518,0.7017706,1.4964286
0.758983,0.868549,1.3527334,0.52476263,0.6928725,1.4962468
0.70765716,0.8382787,1.354343,0.5465048,0.7142773,1.5082397
0.7082172,0.8384826,1.3549495,0.5340697,0.7015907,1.5067278
0.270135,0.47905904,1.7764046,0.5659539,0.7312719,1.4946369
0.863445,0.9274805,1.3201643,0.5916265,0.7534515,1.4980321
0.7622113,0.8702764,1.3540726,0.55606276,0.72372806,1.503817
0.7494067,0.86295944,1.3524201,0.49938047,0.669339,1.4989687
0.74648666,0.8613104,1.35445,0.53403527,0.70179623,1.4977998
0.7245054,0.84767497,1.3586535,0.5415138,0.70830894,1.4960713
0.81427157,0.9005134,1.3503127,0.56294,0.72835886,1.494857
0.76052976,0.8695481,1.3518325,0.5632005,0.72757643,1.4926002
0.82364595,0.9049412,1.3646433,0.5339277,0.7023192,1.502696
0.29000932,0.49490878,1.7440326,0.5674205,0.73123443,1.486181
0.78638524,0.8848541,1.3482718,0.5952754,0.75670475,1.4914593
0.7818202,0.8821831,1.3498397,0.55679435,0.7232388,1.4979308
0.7657514,0.86767197,1.4002272,0.5647522,0.7306805,1.4911108
0.7658452,0.872406,1.3532043,0.5615961,0.72624207,1.4956053
0.8397483,0.91487086,1.3477569,0.57044387,0.7339943,1.4873877
0.7868074,0.88450587,1.3563162,0.56895113,0.73347425,1.4848043
0.25865373,0.46142057,1.808178,0.6042999,0.7630974,1.4804943
0.774374,0.87783295,1.3509072,0.60422456,0.76423997,1.4836397
0.85550904,0.9231363,1.3471444,0.61201894,0.7699622,1.4844705
0.7848829,0.88391423,1.3496025,0.6110021,0.77180743,1.4921906
0.78066385,0.8808937,1.3541673,0.56228906,0.72892106,1.4970394
0.87063056,0.9318775,1.3403479,0.5507417,0.7171247,1.4878939
0.87211317,0.9324427,1.332741,0.56250083,0.72717094,1.4950035
0.8194032,0.9034836,1.3462336,0.57138824,0.73474866,1.4872007
0.74713147,0.86180633,1.3507245,0.5983669,0.7585241,1.4854156
0.6887985,0.82655716,1.3544536,0.6333147,0.7870857,1.4816133
0.7463743,0.8604174,1.3608078,0.61917543,0.77680045,1.4836947
0.7583008,0.86779267,1.3564001,0.5891264,0.7502745,1.4841034
0.7682471,0.8739645,1.3522394,0.57821405,0.7406534,1.4825945
0.74996275,0.8629969,1.3559825,0.5854544,0.7475903,1.4803929
0.8444512,0.91714615,1.3550142,0.6194514,0.7760768,1.4786394
0.7767596,0.87844294,1.3585031,0.5728787,0.73617095,1.4809945
0.73136383,0.8518763,1.358103,0.6178112,0.7750749,1.4816538
0.87612045,0.93465114,1.3412418,0.58837605,0.7509553,1.4847294
0.7404288,0.857476,1.3540115,0.6176342,0.77435607,1.4847239
0.7787502,0.87861115,1.3772764,0.5970962,0.7573118,1.4808662
0.83390415,0.9105939,1.3729494,0.60873544,0.76875484,1.4807416
0.8643208,0.9281585,1.3484776,0.5991951,0.76013416,1.4864286
0.74381983,0.85879064,1.3609033,0.6127701,0.7698702,1.4782981
0.8063555,0.8954076,1.3590696,0.6194645,0.7764567,1.4849074
0.8013195,0.8927654,1.3556058,0.6093224,0.7682666,1.4800247
0.8556276,0.9233652,1.3512516,0.5967279,0.7560363,1.4820626
0.81314975,0.89947474,1.357162,0.6151957,0.7723082,1.4759572
0.7786565,0.87594604,1.4269793,0.64066565,0.7923712,1.4673098
0.74239236,0.8579473,1.3615637,0.61024404,0.76863784,1.4759958
0.78823256,0.88431096,1.3750169,0.6102942,0.77018404,1.4753008
0.8555871,0.9232105,1.3550205,0.64386284,0.7948402,1.4658583
0.83209765,0.91012156,1.3578943,0.6133789,0.7720695,1.4817063
