val_miou,val_oa,val_loss,tra_miou,tra_oa,tra_loss
0.22295016,0.44590032,1.756435,0.4700514,0.66909677,1.9726417
0.22295016,0.44590032,1.7318946,0.5723295,0.7500705,1.717697
0.22295016,0.44590032,1.7422855,0.54530466,0.7298863,1.7265422
0.22295016,0.44590032,1.7839745,0.59580636,0.7834099,1.706203
0.22295016,0.44590032,1.7469077,0.5884066,0.7700977,1.6999304
0.22295016,0.44590032,1.7981856,0.60004276,0.7780713,1.6989089
0.22295016,0.44590032,1.7572389,0.6263938,0.79633254,1.669968
0.22295016,0.44590032,1.8724427,0.6409923,0.8085612,1.6749958
0.21402141,0.42624596,1.7492766,0.57206666,0.7636615,1.7113326
0.28191364,0.47545624,1.7255294,0.59677464,0.7642294,1.6953604
0.5959617,0.77014196,1.6682191,0.5657345,0.7617854,1.7143371
0.31755736,0.48271906,1.8452823,0.57406235,0.74219054,1.6954955
0.26658946,0.43993828,1.7166481,0.669187,0.8324143,1.6680825
0.52991605,0.7272592,1.7186782,0.6345241,0.80722004,1.6678286
0.3765567,0.57455826,1.6096612,0.60226953,0.7767464,1.6903864
0.5920409,0.7563383,1.8521539,0.62724435,0.800822,1.6708763
0.74466014,0.85369563,1.5408841,0.6373893,0.8067229,1.6796825
0.31682983,0.52733475,1.6177498,0.665902,0.8267019,1.6840707
0.7582425,0.86314255,1.5555131,0.6010425,0.77093995,1.6929036
0.3092291,0.52122706,3.4079785,0.63432574,0.8007957,1.6793468
0.22295016,0.44590032,3.6901233,0.6016151,0.7791707,1.6932045
0.88301295,0.9386572,1.4887996,0.6350249,0.8026173,1.6772927
0.5031508,0.67867696,2.4119334,0.6581173,0.81872946,1.6661283
0.6242221,0.78015554,1.7272092,0.6515286,0.8122359,1.6773049
0.6299689,0.7739317,2.2833524,0.65299255,0.81635493,1.6734253
0.86700976,0.9290886,1.5091784,0.6691364,0.82723564,1.657312
0.46340847,0.64729863,1.6044784,0.6848922,0.8340732,1.6428338
0.6686462,0.80190796,1.576523,0.6612958,0.8182368,1.6546166
0.24276358,0.46180102,1.9907756,0.6680807,0.82851654,1.6609755
0.7831109,0.878478,1.8062276,0.63175976,0.795955,1.6642038
0.25426102,0.46921194,1.930557,0.64624023,0.8048745,1.663765
0.71821153,0.8361175,1.6237202,0.6696576,0.82934576,1.646787
0.73383605,0.84655136,1.4979812,0.69317055,0.8408047,1.6431062
0.86402535,0.92805827,1.4763565,0.7008829,0.8467476,1.640084
0.5135897,0.6861496,1.5710149,0.6424966,0.8042619,1.6568264
0.3262582,0.5302939,1.6794903,0.6614321,0.81698585,1.6597022
0.3230877,0.5292025,1.7607483,0.6794914,0.8322003,1.6359116
0.5701166,0.7300661,1.5507293,0.6547427,0.8145086,1.6408142
0.3258137,0.52892584,1.7598451,0.67158717,0.8223912,1.64736
0.69685423,0.8223717,1.5819079,0.6088028,0.78581697,1.671592
0.9197625,0.95867884,1.4309497,0.67770475,0.8307031,1.6476936
0.843418,0.91714025,1.4375255,0.64501697,0.8098319,1.6691825
0.4254943,0.6115518,1.6233644,0.6846802,0.8298989,1.6327002
0.8443859,0.91744894,1.4689043,0.6586955,0.8167961,1.6523645
0.3130926,0.52251536,1.6568912,0.684198,0.8378494,1.6465995
0.88519657,0.93950963,1.4680965,0.70212424,0.8477424,1.631571
0.9197886,0.95869166,1.4405715,0.6783933,0.83410764,1.6382385
0.699898,0.8236864,1.4851112,0.62477547,0.7879876,1.6545415
0.5259513,0.6952095,1.5976263,0.66597325,0.8239288,1.6440628
0.43560156,0.6227327,1.674579,0.69828796,0.84416837,1.6309783
0.45591682,0.635128,1.7054938,0.6912948,0.8374766,1.6188817
0.8265954,0.90527827,1.5557349,0.6760124,0.8310357,1.6352881
0.7854974,0.8818349,1.545917,0.680969,0.8342638,1.6379031
0.64569986,0.7850141,2.093504,0.7054247,0.84638375,1.6202301
0.3576591,0.5576872,1.5678803,0.6336351,0.7983494,1.663179
0.33660966,0.53525823,1.5797868,0.67939353,0.8337181,1.6293907
0.805882,0.8929166,1.4753649,0.7369983,0.86801934,1.5978656
0.9010267,0.94874746,1.4011998,0.69550973,0.8464496,1.6324714
0.9064964,0.95168406,1.4112217,0.69393474,0.83907795,1.6267353
0.66625714,0.80022883,1.5003324,0.6398802,0.80581975,1.6552774
0.39135432,0.5862302,1.5657381,0.7248938,0.86102414,1.6094712
0.7930864,0.88476354,1.456499,0.66464645,0.82302994,1.6420746
0.79183614,0.88398224,1.4724782,0.70495504,0.8469346,1.6263914
0.81145597,0.89627004,1.4490385,0.72343564,0.861191,1.6090952
0.832241,0.9107153,1.4546368,0.6738211,0.83105236,1.6429523
0.3342476,0.5409657,1.6651962,0.7100939,0.85211986,1.6164885
0.3858755,0.5835755,1.6144879,0.70477545,0.84950376,1.6319805
0.6827467,0.8118706,1.5014479,0.7271937,0.8622333,1.6054658
0.37062496,0.5698995,1.6842937,0.7004467,0.8458114,1.6276788
0.47669965,0.6585766,1.6339405,0.7388263,0.8703999,1.5928854
0.8059117,0.8926981,1.4327242,0.7071624,0.84885466,1.6064504
0.52603245,0.69506663,1.6649201,0.7366451,0.8695609,1.6047266
0.6188965,0.766046,1.5599713,0.7192729,0.8594258,1.6087477
0.6279683,0.7714941,1.6250881,0.68602026,0.83326006,1.6297942
0.57278526,0.7306203,1.5163593,0.74702555,0.87185013,1.6015637
0.5580828,0.7188412,1.5319211,0.74356043,0.87334025,1.6009941
0.67682034,0.8076231,1.5114349,0.7208238,0.85608196,1.6059433
