val_miou,val_oa,val_loss,tra_miou,tra_oa,tra_loss
0.22270761,0.4162237,1.686647,0.32762492,0.5101821,0.6954563
0.22294825,0.4458965,0.6818911,0.3548745,0.7046564,0.61294645
0.22388768,0.44486064,2.3539758,0.35665703,0.7100144,0.5745321
0.22364153,0.44084272,1.8532355,0.35571644,0.7112752,0.56887144
0.22295016,0.44590032,0.9601932,0.35574678,0.7114911,0.5512034
0.22295016,0.44590032,0.5799451,0.35574815,0.7114689,0.5691661
0.22295016,0.44590032,0.6997993,0.3801538,0.70597154,0.51205385
0.22295016,0.44590032,0.68420523,0.4266418,0.69691926,0.4874241
0.22295016,0.44590032,0.6409641,0.43064785,0.7144177,0.49699688
0.22441679,0.44709986,0.6813251,0.524308,0.71204233,0.47849986
0.33636373,0.5604255,0.67213476,0.5625899,0.75412315,0.48601997
0.4791236,0.650048,0.43871048,0.46546978,0.72325087,0.50783503
0.6450069,0.7882444,0.3770502,0.5644138,0.7520655,0.48019326
0.70409524,0.83585286,0.44755125,0.5816283,0.77377445,0.46992573
0.54960406,0.73984075,0.548229,0.6084099,0.7969818,0.43744776
0.57460666,0.7559849,0.49817443,0.6542705,0.81713647,0.40613568
0.81782514,0.90083694,0.35907272,0.607746,0.7938261,0.45530596
0.7620527,0.86498713,0.37598732,0.6124016,0.79699105,0.4454446
0.87906134,0.93662745,0.26869678,0.6091859,0.7849893,0.45233908
0.73819697,0.8558263,0.4004251,0.5887486,0.7877956,0.44452515
0.71859396,0.8446499,0.38447902,0.63401926,0.8213183,0.42861938
0.73776764,0.8557722,0.4108352,0.6841541,0.84359056,0.36934868
0.73698735,0.8558426,0.37441656,0.6567594,0.827349,0.37606227
0.8420673,0.9167057,0.20008309,0.69298875,0.84631366,0.3899908
0.31266493,0.5237434,0.8757597,0.6512556,0.8237431,0.39324734
0.23839289,0.45943,1.1144265,0.6137525,0.79425234,0.42731026
0.70939136,0.8301208,0.3662556,0.6934406,0.8506666,0.3582871
0.85082465,0.9197537,0.22665231,0.6968764,0.8564109,0.35610485
0.8166244,0.9010155,0.28511113,0.62714994,0.80821615,0.4235936
0.8546725,0.92198735,0.22643958,0.66285515,0.82403797,0.40105113
0.7639253,0.86621404,0.35441735,0.69092435,0.8394794,0.35796642
0.85584164,0.92293376,0.20021626,0.66071707,0.8322368,0.37688556
0.8698397,0.9311714,0.18818887,0.6715574,0.83806604,0.3697596
0.71655226,0.84290314,0.4927606,0.63786304,0.8189283,0.3935653
0.8702401,0.93192255,0.18564388,0.68510544,0.83906573,0.35792568
0.87916815,0.93681926,0.18001577,0.6962834,0.85202044,0.35357475
0.77614856,0.8789225,0.32572365,0.74888194,0.8819578,0.30842412
0.8922556,0.9439722,0.1604778,0.7410079,0.8733504,0.30066326
0.8905572,0.94256,0.17640765,0.7122141,0.8590034,0.33777937
0.7283819,0.8508915,0.39792275,0.76064414,0.8855071,0.29498756
0.8671223,0.9301577,0.20044935,0.6449239,0.8317469,0.362339
0.8396865,0.915122,0.23909494,0.6535446,0.8152548,0.39740595
0.68709797,0.826106,0.5529914,0.71577394,0.8661021,0.33632
0.8673289,0.9293733,0.20502128,0.6722591,0.8369811,0.3672805
0.88543504,0.9400316,0.17345975,0.70055306,0.8475967,0.36747968
0.75181353,0.8643116,0.4309317,0.67582464,0.8505127,0.33073163
0.7924809,0.88803583,0.28999043,0.7033677,0.8533269,0.3431138
0.8688874,0.93052745,0.22413757,0.6946392,0.8519419,0.34650564
0.79941547,0.8885956,0.28804567,0.7290025,0.8707014,0.31480566
0.25128776,0.47015658,0.70652723,0.7184837,0.86099744,0.3432372
0.76203287,0.8649479,0.34866458,0.73802537,0.87260854,0.32605484
0.8023306,0.890436,0.25645638,0.70157874,0.8504078,0.3489534
0.84551376,0.9168996,0.20708922,0.719367,0.8680212,0.3120667
0.72162503,0.8451292,0.548506,0.69823277,0.8551891,0.35477817
0.805212,0.89263433,0.22754735,0.76806295,0.8946665,0.26924765
0.7699254,0.8700135,0.3087322,0.76618886,0.8890168,0.29764825
0.79313236,0.8847181,0.25589198,0.6899836,0.8467877,0.37388682
0.8121954,0.8965336,0.2690107,0.6973989,0.84785455,0.366199
0.7997104,0.8888033,0.25080186,0.68919706,0.8490341,0.3430288
0.79332507,0.8848658,0.27567902,0.7183987,0.8648509,0.31641993
0.7811405,0.8771463,0.29302117,0.75362384,0.88259655,0.30950776
0.7555877,0.86078715,0.37275916,0.7615663,0.887461,0.30334553
0.7907726,0.8832713,0.26819122,0.7548796,0.8828271,0.29531264
0.764284,0.8663958,0.33592424,0.689741,0.850267,0.33317012
0.82894796,0.90675354,0.20734648,0.7285448,0.867291,0.2982516
0.8776103,0.93582743,0.21442977,0.73663896,0.8757699,0.3648421
0.6911075,0.81790614,0.40959588,0.6685047,0.83496326,0.36187124
0.8677034,0.9298512,0.17680392,0.7595881,0.885428,0.29221427
0.8683343,0.9308298,0.21560019,0.7655414,0.891542,0.28591433
0.83773553,0.9120005,0.20578092,0.7625973,0.8876477,0.290348
0.702399,0.8254904,0.37460807,0.7064353,0.8576497,0.31790945
0.8273634,0.9063461,0.25832048,0.7123976,0.8596346,0.33794108
0.7768827,0.8744784,0.28254086,0.6980057,0.8519696,0.336475
0.68969774,0.8168772,0.4037703,0.71953607,0.86149913,0.32725915
0.7922988,0.88447016,0.24783355,0.78152746,0.8987035,0.27597913
0.8447053,0.9161484,0.19370057,0.68982226,0.85120416,0.34092903
0.8456124,0.91681427,0.19467774,0.7156467,0.859707,0.32163477
0.779014,0.8757938,0.30870575,0.6837535,0.84327394,0.34594846
0.74726164,0.85537964,0.35723522,0.76580846,0.88903576,0.30123952
0.7929791,0.88462275,0.25338975,0.73309124,0.8711441,0.30130175
0.7755041,0.87356603,0.29501814,0.7598653,0.88619626,0.29084268
0.7963381,0.88685817,0.239327,0.75929034,0.88579696,0.27356952
0.7850921,0.8796772,0.2683552,0.746457,0.87654567,0.2976568
0.79245234,0.8844116,0.25102785,0.79742724,0.9066548,0.25062087
0.79938376,0.88861185,0.24096772,0.7374557,0.8760782,0.30232805
0.7758218,0.8737682,0.31066465,0.7760825,0.8925709,0.26981202
0.78688025,0.880781,0.26577777,0.7154535,0.8622725,0.33643138
0.7744765,0.87291235,0.30603972,0.7568946,0.8830909,0.2962763
0.83449197,0.91030985,0.22405204,0.75688,0.88413197,0.271799
0.7944132,0.8855913,0.2481097,0.7910508,0.9042427,0.2753388
0.7659099,0.8674421,0.33270678,0.79201853,0.904668,0.25602928
0.70295715,0.82583755,0.39014408,0.75371945,0.88364923,0.2746198
0.7708082,0.87057704,0.32196632,0.7519373,0.87877744,0.30368733
0.7960863,0.88655126,0.29155317,0.7836144,0.8989404,0.25785276
0.7675199,0.86847305,0.33607784,0.74867755,0.8806751,0.29460332
0.7813859,0.8773117,0.30852196,0.74624896,0.877182,0.30796894
0.75710607,0.8617651,0.34680462,0.7958859,0.90594333,0.2659934
0.72114617,0.838098,0.3941685,0.7786976,0.8964417,0.28416187
0.75224316,0.85860753,0.35332206,0.765191,0.88991094,0.26386717
0.7402866,0.8507791,0.35696134,0.7933272,0.90302724,0.2712082
