val_miou,val_oa,val_loss,tra_miou,tra_oa,tra_loss
0.31561443,0.48331347,8.0769825,0.15867105,0.30256733,1.4787092
0.3104657,0.48040354,8.13988,0.3799902,0.5966255,1.419221
0.34919146,0.5237246,7.876548,0.4380544,0.72192925,1.3985966
0.22301061,0.44324666,1.337296,0.4712134,0.7331015,1.3910753
0.2278238,0.4485134,1.3305938,0.527931,0.75443494,1.335694
0.26663586,0.44868782,1.8689058,0.51806426,0.7459321,1.3434715
0.2846237,0.48781168,1.3188045,0.5593336,0.7740215,1.3021414
0.22519857,0.44726354,1.3443593,0.5245246,0.712126,1.3260335
0.23879379,0.45800677,1.3377166,0.5649588,0.7428785,1.2879467
0.38623857,0.5714458,1.2354753,0.5986389,0.7717054,1.2601764
0.8113891,0.8966436,1.0414262,0.5912483,0.76749444,1.2532158
0.74422336,0.85335785,1.0079811,0.56971896,0.7404892,1.2420098
0.7702926,0.8754446,0.90193284,0.5681171,0.75109166,1.2450956
0.813306,0.90032023,0.8101598,0.60274726,0.7781954,1.1894746
0.80486786,0.8952318,0.9307849,0.5858755,0.7629549,1.1701585
0.85496044,0.9234858,0.76735216,0.63242817,0.79762554,1.1343066
0.8519596,0.92185384,0.7518978,0.6260828,0.7911781,1.1298436
0.6241021,0.78804326,2.4258838,0.6631335,0.8207696,1.0874978
0.6545094,0.8066437,2.7029614,0.6203883,0.7917437,1.1067189
0.7900826,0.88739914,1.1998396,0.7081163,0.8617752,1.0465513
0.6490658,0.80298615,2.5721755,0.60423154,0.77744937,1.1026286
0.8318167,0.9102218,0.9478181,0.6713477,0.83567023,1.0556269
0.85781056,0.9243341,0.66763747,0.6117823,0.7828775,1.1352801
0.7395849,0.8504989,0.9043342,0.6329651,0.80078006,1.075549
0.8703832,0.9316198,0.67287683,0.6896774,0.84228426,1.0180764
0.85830927,0.92539597,0.73451805,0.66316277,0.82244706,1.0408335
0.8819177,0.9377008,0.58860254,0.6471522,0.81032646,1.0505162
0.764776,0.8715845,1.0709853,0.6384194,0.80946064,1.077375
0.88729966,0.94077545,0.59007263,0.66149825,0.81909966,1.0070721
0.66189337,0.8099608,1.2689923,0.6881975,0.8387659,0.99812025
0.84893066,0.91902786,0.6347206,0.65938336,0.8230614,1.0151411
0.75595874,0.8664135,1.0473108,0.6793082,0.83378214,1.0592245
