val_miou,val_oa,val_loss,tra_miou,tra_oa,tra_loss
0.27749383,0.46331093,4.391389,0.32928783,0.50581944,1.8315471
0.22295016,0.44590032,2.2484035,0.35503265,0.7085459,1.8087827
0.22295016,0.44590032,1.8939631,0.3557973,0.71122724,1.7976314
0.22295016,0.44590032,1.809958,0.36312672,0.70340836,1.8125348
0.22295016,0.44590032,1.7290661,0.35571843,0.7113683,1.8051344
0.22295016,0.44590032,1.7406893,0.450245,0.6660351,1.7747175
0.19495659,0.3842489,1.7987549,0.48635358,0.6679235,1.7765174
0.17755155,0.35399696,3.0327878,0.52564806,0.7215253,1.7670835
0.4261216,0.61846334,2.3310885,0.5617813,0.7445211,1.741759
0.28532386,0.49542445,1.8098118,0.48786154,0.67291516,1.7605519
0.2534896,0.45532295,1.88344,0.5415883,0.720954,1.7361288
0.25255087,0.45675763,2.091496,0.6045368,0.77644205,1.7442874
0.26574454,0.46597603,2.2495675,0.5870542,0.77437514,1.7339634
0.80024284,0.8902578,1.5432365,0.59372103,0.7695637,1.7305514
0.49504596,0.6651008,1.666653,0.58234495,0.7734344,1.738949
0.48883122,0.6582555,1.6871078,0.63624585,0.8063423,1.7124119
0.86127436,0.9270408,1.5076952,0.62089396,0.79257745,1.7140316
0.74147046,0.8579851,1.591676,0.59646744,0.77188814,1.7141823
0.3825637,0.6191656,1.8765752,0.66057295,0.8171459,1.7003034
0.20482695,0.379269,3.3632224,0.6745757,0.84417415,1.6748284
0.4680065,0.68509847,1.8241057,0.63856465,0.8071674,1.6881208
0.45348546,0.67630696,1.877339,0.59782124,0.7675515,1.693192
0.7529688,0.86490077,1.5895529,0.6892457,0.83868796,1.7060919
0.60657084,0.7569119,1.6565382,0.6696198,0.8342924,1.6811994
0.2755161,0.48121053,2.5573013,0.6120286,0.7847216,1.7261901
0.88110614,0.93787175,1.4532993,0.6774142,0.8253915,1.6816558
0.7425108,0.8580957,1.6271884,0.6259318,0.80152154,1.6827027
0.79318625,0.8883674,1.5300733,0.6929567,0.8439846,1.6881067
0.8969605,0.94652313,1.4471617,0.6579638,0.82123774,1.6604768
0.87573934,0.93483317,1.4946756,0.61809355,0.78555363,1.6930646
0.8792511,0.93691915,1.4401257,0.67681503,0.83436084,1.6692251
0.8685533,0.9299549,1.4774358,0.6197188,0.78793746,1.7055377
0.88519204,0.9400444,1.459805,0.6362295,0.7953581,1.6641732
0.78750455,0.8811382,1.5364463,0.7203455,0.85914075,1.6304827
0.6196134,0.76666224,1.6625564,0.66456866,0.8180472,1.6554447
0.7512704,0.8608582,1.5408884,0.6394119,0.80290735,1.6763283
0.64168274,0.7941177,1.6799421,0.6491902,0.8094514,1.690327
0.78568476,0.8842205,1.5064771,0.66632074,0.82494295,1.683278
0.85841835,0.9255451,1.462914,0.68936276,0.8373452,1.6321259
0.87465966,0.93456477,1.4416701,0.6804123,0.8312663,1.6581693
0.8540212,0.92312866,1.4597995,0.65992534,0.82349473,1.6659297
0.8841065,0.9394649,1.4419761,0.69359314,0.8391985,1.6287575
0.8772247,0.93509954,1.4322307,0.7236906,0.85902625,1.6197
0.86143214,0.92671967,1.4536543,0.6460768,0.8109059,1.6712103
0.7474427,0.85747075,1.6120821,0.57956076,0.7469915,1.6935946
0.8689514,0.9304397,1.4716622,0.70232916,0.8469156,1.6704162
0.8463794,0.91726756,1.492133,0.6967381,0.8444959,1.6350746
0.8830916,0.93875194,1.4417913,0.62157923,0.8016927,1.6562303
0.88671327,0.9409332,1.4284996,0.69680935,0.8434263,1.6244854
0.87892497,0.9361829,1.4423059,0.6484562,0.82038915,1.6537309
0.8982036,0.9470839,1.4360647,0.6922257,0.841235,1.6667098
0.8557155,0.9234858,1.4600078,0.694506,0.8384438,1.6344017
