val_miou,val_oa,val_loss,tra_miou,tra_oa,tra_loss
0.22295016,0.44590032,7.6757197,0.5090983,0.7305455,1.1932465
0.22295016,0.44590032,7.807257,0.5533032,0.7241172,1.0991049
0.5598368,0.7270941,1.9194462,0.58017755,0.76002437,1.1032231
0.38538533,0.61433065,1.7115878,0.5800879,0.7618588,1.1150304
0.47918853,0.6770363,1.7018572,0.6020688,0.7738505,1.050023
0.46328533,0.64938146,1.3802501,0.63333046,0.8000478,1.0125082
0.30831194,0.5756333,1.3483235,0.5914768,0.75825167,1.0521961
0.27810428,0.5548536,1.7301638,0.59180987,0.7648381,1.0869737
0.2832883,0.5585539,1.690371,0.6346313,0.80619216,1.034711
0.27830753,0.55499893,1.9046932,0.6729565,0.83396727,1.0015777
0.28193194,0.55750173,1.9558163,0.6410714,0.8017873,1.0090257
0.2859427,0.56004196,1.8747793,0.68635213,0.8373576,0.93908566
0.3074042,0.5746311,1.7277583,0.6575095,0.81683666,0.9670642
0.28688112,0.56025976,1.4217714,0.65756464,0.82054055,1.0183593
0.29874188,0.56897527,1.4205302,0.6499995,0.80931044,1.0002455
0.40925142,0.6454329,1.1359076,0.64859957,0.8106605,0.9645686
0.3929131,0.63498443,1.2027763,0.6603182,0.8225714,1.013402
0.30343536,0.5723333,1.2847848,0.68094313,0.8347588,0.97399014
0.59250396,0.767755,0.98846364,0.6033,0.77906775,1.0552831
0.44358322,0.6692793,1.043599,0.6715811,0.8268478,0.9946096
0.29229572,0.5644857,1.7247677,0.70806134,0.854658,0.9653573
0.66036236,0.80942255,0.97955036,0.6395875,0.806374,1.004459
0.8767907,0.935687,0.8045161,0.6357237,0.80224407,1.0435487
0.87898505,0.9364919,0.82919794,0.68505037,0.84195465,0.9569476
0.7610814,0.86999375,0.80052644,0.6388997,0.8017022,0.9700888
0.63503015,0.79194224,0.9613391,0.66981125,0.83120894,0.9457371
0.70060503,0.8348625,0.8800752,0.65416235,0.8085342,0.95441574
0.8468646,0.9192259,0.64728194,0.69322246,0.83932966,0.93737125
0.73010087,0.8516516,0.86614907,0.6781439,0.83895725,0.94272757
0.66185486,0.81042516,0.8838027,0.6529,0.81421965,1.0131903
0.7637427,0.8718366,0.76607084,0.6925645,0.8389198,0.9116414
0.80523956,0.8955973,0.7184966,0.72757924,0.8638118,0.87709093
0.8420515,0.91665894,0.6101172,0.7013943,0.84950954,0.9122208
