val_miou,val_oa,val_loss,tra_miou,tra_oa,tra_loss
0.22540963,0.4458417,1.9924397,0.29243988,0.45517176,1.6189699
0.22391605,0.44551885,1.9972136,0.40095899,0.57246715,1.5580269
0.27707043,0.5540879,1.5434585,0.47234184,0.644257,1.5294529
0.22303827,0.44597766,1.999474,0.48592716,0.6574599,1.5250605
0.22251204,0.44321096,1.995815,0.3721787,0.54253733,1.5257154
0.22236176,0.43945935,1.9740157,0.4284011,0.6006193,1.5227832
0.6179668,0.769886,1.4744571,0.47414082,0.6470852,1.512515
0.36015886,0.55238205,1.7155681,0.40242988,0.5741039,1.5611733
0.45134056,0.6236721,1.519605,0.44495136,0.6168773,1.51431
0.32728264,0.588321,1.4959602,0.47486296,0.6463911,1.5278673
0.22578308,0.41922066,1.5723739,0.46372926,0.63572544,1.5183386
0.2888962,0.5611277,1.4948226,0.4502936,0.6223237,1.5235696
0.28751716,0.56037486,1.4948232,0.45901236,0.6310994,1.5135673
0.28552154,0.5594469,1.4948062,0.45216933,0.6242702,1.503218
0.28506318,0.5594954,1.4947038,0.43941697,0.61155105,1.5118908
0.28632507,0.5603024,1.4947374,0.42657918,0.5986156,1.5251807
0.5837393,0.7624331,1.3788754,0.44699243,0.62099236,1.5709788
0.3016226,0.5714136,1.4914212,0.47537613,0.64797425,1.5467838
0.45537144,0.6780354,1.4370819,0.4514811,0.62391937,1.52851
0.49438912,0.70413417,1.4108942,0.44845825,0.6202818,1.5148902
0.49903876,0.7073073,1.3980923,0.45295584,0.6249137,1.5230676
0.39495012,0.6368093,1.4605968,0.478005,0.6491164,1.520224
0.49732575,0.70596004,1.4116564,0.497284,0.66763276,1.5043694
0.40098524,0.6407679,1.4589238,0.49501592,0.6665184,1.5004228
0.506093,0.7118423,1.3921611,0.5133492,0.682556,1.5200205
0.41965595,0.65352595,1.448869,0.5258306,0.6942503,1.510006
0.51348555,0.71653056,1.3858402,0.5007546,0.6711512,1.5022222
0.58157146,0.76088405,1.369829,0.51553786,0.6862613,1.5300466
0.6481097,0.80165553,1.3499088,0.4811986,0.65294784,1.5397762
0.6392467,0.79625803,1.3531544,0.4855096,0.65633535,1.513717
0.5278547,0.72540385,1.3938041,0.50252545,0.6725614,1.5239519
0.6286303,0.7908537,1.35768,0.5012304,0.6743233,1.5478884
0.6526172,0.80522573,1.3489016,0.4659444,0.63844097,1.5112048
0.64300287,0.7998203,1.3539925,0.44230255,0.6146624,1.5340258
0.67346454,0.8185116,1.3524644,0.49323907,0.66375464,1.518562
0.6786734,0.82170177,1.3527856,0.49260283,0.663285,1.4982058
0.6775848,0.8210359,1.3484514,0.50515914,0.6756432,1.5097537
0.6806043,0.8223617,1.3477716,0.51853323,0.68802124,1.5012158
0.66307646,0.81205577,1.3482344,0.5073702,0.6772543,1.516643
0.6699041,0.8164076,1.3496505,0.5051533,0.6748373,1.4924436
0.66725945,0.81487346,1.3501878,0.5277578,0.6961754,1.5143958
0.66864896,0.8156343,1.3510485,0.54125345,0.70976645,1.5171694
0.67412955,0.81900096,1.3570917,0.56370795,0.7279405,1.4826211
0.56111753,0.7478437,1.3800879,0.5586693,0.7250366,1.505282
0.6578386,0.80895513,1.3494279,0.53575796,0.70466197,1.5081364
0.68024933,0.8219254,1.3445379,0.49734074,0.66771567,1.5317866
0.6920315,0.8291962,1.3445518,0.49489427,0.6656651,1.5113497
0.6631894,0.81147075,1.3445958,0.48809594,0.6594548,1.5164179
0.6802701,0.8222514,1.3436906,0.48447222,0.65554297,1.5142664
0.6767879,0.8202622,1.3429313,0.49752852,0.6676368,1.4972821
0.6668876,0.81444097,1.343998,0.51207125,0.6810953,1.5138502
0.655326,0.8073588,1.3462634,0.5343549,0.70170105,1.5194651
0.6561147,0.8077268,1.3444806,0.54494965,0.7118462,1.5094877
0.7294038,0.85229564,1.3446091,0.5411911,0.7096271,1.5039145
0.7227849,0.84840256,1.3485808,0.5248891,0.693404,1.4894938
0.633434,0.793817,1.3648238,0.5269498,0.69487107,1.5082703
0.60684144,0.7770434,1.3728919,0.55100024,0.71801174,1.4950752
0.66383433,0.8126408,1.3567705,0.5505899,0.7162735,1.5018468
0.6620826,0.81149745,1.3598459,0.56237495,0.72814536,1.4864424
0.5867055,0.764164,1.3963819,0.5661702,0.7300885,1.4813251
0.72118914,0.84724736,1.3446381,0.52662593,0.6969166,1.5141507
0.75505495,0.8668795,1.3442142,0.5479028,0.71371686,1.501434
0.7844039,0.88409495,1.3419108,0.52305454,0.692315,1.5076526
0.79135025,0.88803965,1.340703,0.5276128,0.6958312,1.4911548
