val_miou,val_oa,val_loss,tra_miou,tra_oa,tra_loss
0.22310345,0.4456357,2.5517905,0.4422708,0.6258651,1.7914594
0.621443,0.76653117,1.8837532,0.55089134,0.7272638,1.7219108
0.53427595,0.715176,1.8812332,0.56130826,0.74138397,1.7409238
0.51915693,0.7046592,1.8534801,0.5669426,0.7458991,1.732294
0.3811116,0.61913437,1.7311919,0.58745086,0.75592893,1.710374
0.3065849,0.57471883,1.7281898,0.59390855,0.7639125,1.7142082
0.31858784,0.58306986,1.7312676,0.619276,0.7893443,1.6902509
0.28313473,0.5583926,1.8234973,0.61393726,0.7884418,1.7057656
0.29046908,0.56334203,1.7811052,0.5947199,0.7712106,1.7091371
0.28447896,0.5592239,1.8737147,0.62849486,0.789227,1.6812822
0.278257,0.55496144,2.0141354,0.61683404,0.7844649,1.7069467
0.28144887,0.5572329,1.9548453,0.61936015,0.7923879,1.6781616
0.29440954,0.56550425,1.7606555,0.5877267,0.7606267,1.699317
0.5091729,0.7128771,1.6561918,0.6219343,0.7897852,1.6971661
0.40256214,0.6414632,1.6904416,0.6438273,0.80246323,1.6710697
0.3063893,0.5746529,1.726484,0.5958242,0.7622317,1.7105589
0.46262947,0.68273824,1.6946251,0.6509553,0.810287,1.7007521
0.46434355,0.68403935,1.7887685,0.6587187,0.8242982,1.6891646
0.37907007,0.625619,1.7053998,0.61640203,0.78555065,1.6882049
0.33689788,0.5960915,1.7867259,0.67709,0.8285209,1.6681865
0.52747977,0.72573644,1.666178,0.6813912,0.8371604,1.663782
0.6403879,0.7973383,1.5688391,0.6110202,0.78161556,1.6731097
0.7021535,0.8352623,1.5283892,0.67311084,0.8303848,1.6882372
0.6765123,0.8191671,1.5438094,0.6817181,0.84351087,1.6651121
0.76520073,0.87254053,1.5057867,0.68360966,0.8369854,1.6496016
0.7474232,0.8621601,1.4891039,0.6391656,0.8043201,1.6675626
0.84686315,0.91912705,1.4890053,0.6419382,0.80264586,1.6496168
0.78726745,0.8811791,1.5917566,0.65591526,0.81803423,1.6593018
0.883657,0.93935466,1.4515659,0.68263733,0.8403015,1.6476264
0.7245145,0.84711874,1.5336607,0.6648586,0.8178882,1.6376915
0.89444166,0.94538534,1.4374428,0.6443927,0.81535774,1.6566453
0.84693307,0.91872615,1.5348299,0.6765126,0.8325565,1.6593304
0.84088373,0.91592336,1.4639975,0.6215978,0.78565687,1.6494807
0.74506545,0.8599978,1.4876792,0.6457567,0.8066406,1.6902801
0.8867183,0.94099736,1.452677,0.69826233,0.847835,1.6527168
0.8291405,0.9090052,1.4629986,0.6512039,0.81823546,1.7007751
0.82101256,0.9037163,1.5113426,0.7136667,0.85437953,1.637945
0.88966876,0.94254404,1.4523591,0.633373,0.805522,1.6644002
0.8937924,0.944681,1.502896,0.64019287,0.8113308,1.6529379
0.8814387,0.9382595,1.4450778,0.66749614,0.8198881,1.651596
0.8505303,0.9210434,1.4525671,0.6333233,0.80656654,1.6869564
0.9039067,0.95002675,1.4750218,0.6492057,0.81710595,1.700922
0.8739076,0.933909,1.4509816,0.7082487,0.853587,1.6507201
0.740908,0.85119176,1.5643182,0.6563399,0.82162005,1.6494985
0.9058447,0.9511247,1.4579124,0.63189375,0.8010177,1.6767014
0.73782563,0.8553349,1.4771049,0.66098833,0.81533235,1.6553754
0.87011886,0.93208694,1.4187789,0.6512538,0.8141634,1.6693368
0.9095182,0.9534191,1.3836157,0.647213,0.8098879,1.6901146
0.9040587,0.95033956,1.4255893,0.6568167,0.8147464,1.656815
0.9109215,0.95394206,1.4466388,0.68334484,0.8300847,1.6431814
0.9008845,0.94865453,1.408077,0.6432028,0.8046435,1.6787485
0.89113015,0.94320816,1.4287483,0.6829151,0.83411986,1.6555458
0.8963828,0.9460508,1.4371878,0.66804105,0.82472545,1.6418704
0.85986173,0.9262175,1.4528159,0.68676573,0.8383058,1.6445994
0.898093,0.94716364,1.4133872,0.6772978,0.8334689,1.6330914
0.8629011,0.92786753,1.4365338,0.69161,0.84204245,1.6280762
0.84550846,0.91819346,1.4467826,0.6801648,0.8312262,1.6281538
0.8218491,0.904661,1.4400913,0.68236405,0.8317259,1.6634852
